Commodity Number,Commodity Description,Unit of Quantity,Rate of Duty 1930,Rate of Duty Trade Agreement,Tariff Paragraph,TopLeft_X,TopLeft_Y,TopRight_X,TopRight_Y,BottomRight_X,BottomRight_Y,BottomLeft_X,BottomLeft_Y,Confidence,Page
,,,,31b. GATT,,1690,1548,1902,1548,1902,1589,1690,1589,0.9087786078453064,28
,Pork:,,,,,513,1580,605,1580,605,1613,513,1613,0.9956165552139282,28
0020100,,,,,,240,1611,419,1609,419,1644,240,1646,0.9990596175193788,28
,Fresh or chilled,,,,,550,1613,805,1613,805,1644,550,1644,0.9842296838760376,28
,,Lb-,,,,1308,1610,1392,1610,1392,1647,1308,1647,0.7712969183921814,28
,,,2%21b,,,1454,1608,1572,1608,1572,1651,1454,1651,0.7017341256141663,28
,,,,14,,1693,1613,1765,1613,1765,1651,1693,1651,0.8870158195495605,28
,,,,"Ib. Can., bound GATT",,1758,1612,2123,1610,2123,1647,1758,1649,0.973459541797638,28
,,,,,703,2140,1621,2224,1621,2224,1666,2140,1666,0.9937117695808412,28
0020500,,,,,,240,1642,420,1640,420,1675,240,1677,0.9968101382255554,28
,,Lb-,,,,1309,1638,1394,1645,1391,1682,1306,1675,0.8230275511741638,28
,,,221b,,,1454,1634,1573,1640,1571,1688,1452,1683,0.7640835642814636,28
,Frozen--,,,,,552,1644,694,1649,692,1678,550,1673,0.9110385179519652,28
,,,,1y,,1692,1641,1765,1641,1765,1684,1692,1684,0.6044195890426636,28
,,,,ib.,,1766,1642,1812,1642,1812,1681,1766,1681,0.9416394233703612,28
,,,,GATT,,1799,1643,1925,1643,1925,1679,1799,1679,0.8992449045181274,28
0021000,,,,,,241,1673,391,1673,391,1708,241,1708,0.9988988041877748,28
,Mutton-..,,,,,515,1672,682,1677,681,1711,514,1706,0.8635281324386597,28
,,Lb--,,,,1310,1671,1388,1677,1386,1713,1307,1707,0.8032419085502625,28
,,,nan,,,1452,1667,1511,1667,1511,1815,1452,1815,0.0,28
,,,ib-,,,1501,1672,1556,1684,1549,1715,1494,1703,0.8744187355041504,28
,,,,2y2,,1692,1668,1767,1674,1764,1717,1689,1711,0.5138580203056335,28
,,,,. GATT,,1799,1673,1922,1673,1922,1709,1799,1709,0.8824064135551453,28
0022000,,,,,,241,1705,325,1703,326,1737,242,1739,0.9958884119987488,28
,,,,,,327,1705,391,1705,391,1738,327,1738,0.9922963976860046,28
,Lamb--.,,,,,515,1704,647,1711,645,1743,513,1736,0.8668569922447205,28
,$4fra{}$,,,,,1249,1698,1278,1698,1278,1741,1249,1741,0.6187067031860352,28
,,Lb--,,,,1308,1701,1392,1709,1389,1746,1305,1738,0.8411192297935486,28
,,,1b-,,,1510,1701,1557,1719,1545,1750,1498,1732,0.7000588774681091,28
,,,,32,,1691,1704,1768,1704,1768,1745,1691,1745,0.7210001349449158,28
,,,,Ib. GATT,,1757,1699,1927,1699,1927,1748,1757,1748,0.8590859174728394,28
,,,,,702,2147,1700,2225,1702,2223,1745,2145,1742,0.981200397014618,28
,,,,,,328,1735,392,1738,390,1772,326,1769,0.998624324798584,28
,Goat meat.--,,,,,516,1735,731,1742,730,1773,515,1766,0.9236590266227722,28
,nan,,,,,1265,1726,1292,1753,1265,1780,1238,1753,0.0,28
0023000,,,,,,242,1737,326,1737,326,1770,242,1770,0.9985753297805786,28
,,Lb-.,,,,1309,1733,1385,1739,1382,1776,1306,1770,0.7150470614433289,28
,,,lb-,,,1504,1738,1557,1738,1557,1770,1504,1770,0.7606613636016846,28
,,,,2%1b.GATT,,1690,1734,1925,1731,1926,1773,1691,1776,0.8212358951568604,28
0023000,,,,,,241,1769,339,1769,339,1802,241,1802,0.9982319474220276,28
,,,,,,323,1768,391,1768,391,1801,323,1801,0.9977631568908693,28
,Reindeer meat--,,,,,515,1768,776,1772,776,1803,515,1799,0.919899582862854,28
,,Lb..,,,,1308,1768,1383,1768,1383,1802,1308,1802,0.7471844553947449,28
,,,Jb_,,,1498,1770,1557,1770,1557,1801,1498,1801,0.6030665040016174,28
,マ,,,,,1236,1781,1271,1754,1295,1786,1260,1813,0.1933693438768386,28
0023300,,,,,,241,1797,392,1797,392,1836,241,1836,0.9981064200401306,28
,Venison---,,,,,516,1799,695,1807,693,1838,515,1830,0.9653499722480774,28
,(4),,,,,1237,1792,1290,1792,1290,1835,1237,1835,0.8417364954948425,28
,,Lb__,,,,1308,1797,1392,1797,1392,1836,1308,1836,0.8431917428970337,28
,,,6,,,1458,1791,1506,1791,1506,1836,1458,1836,0.8690930008888245,28
,,,,3lb.U.K,,1691,1799,1876,1798,1877,1833,1692,1834,0.869107186794281,28
,,,,1%{Ib. GATT..,,1693,1832,1948,1830,1948,1864,1694,1866,0.7541528940200806,28
,,,,,704,2147,1825,2225,1828,2223,1869,2145,1866,0.9978272914886476,28
0023500,,,,,,243,1861,391,1861,391,1896,243,1896,0.9675709009170532,28
,"Game (except birds), n. s. p. f. (specify by",,,,,515,1858,1191,1861,1191,1898,515,1895,0.9645812511444092,28
,（4）,,,,,1224,1858,1299,1858,1299,1900,1224,1900,0.7808656692504883,28
,,Lb.--,,,,1307,1858,1435,1862,1434,1901,1306,1897,0.7333552837371826,28
,,,61b----,,,1457,1860,1600,1860,1600,1899,1457,1899,0.7856853604316711,28
,,,,3ξIb. GATT.-,,1694,1864,1927,1864,1927,1898,1694,1898,0.8020357489585876,28
,name).,,,,,550,1897,659,1897,659,1925,550,1925,0.99510258436203,28
0023600,,,,,,242,1922,390,1921,391,1957,242,1958,0.9449652433395386,28
,"Edible offal: Livers, kidneys, tongues, hearts, (4)Lb.-",,,,,513,1920,1423,1920,1423,1963,513,1963,0.9568668603897096,28
,,,6lb----,,,1458,1924,1602,1924,1602,1959,1458,1959,0.8210076689720154,28
,,,,3lb. Can_,,1693,1923,1877,1925,1876,1961,1692,1958,0.8426232933998108,28
,"aveetbreads, tripe, and brains.",,,,,549,1958,1029,1958,1029,1989,549,1989,0.9433686137199402,28
,,,20% min----,,,1456,1952,1673,1954,1672,1996,1455,1993,0.8805482983589172,28
,,,,15% min. Can---,,1693,1954,1982,1956,1982,1995,1692,1992,0.9058104157447816,28
,,,,1%cIb.GATT,,1693,1990,1924,1987,1925,2021,1694,2024,0.8248108625411987,28
,,,,,706,2147,1981,2223,1981,2223,2023,2147,2023,0.985935628414154,28
,,,,7%% min. GATT,,1692,2019,1972,2018,1972,2053,1692,2055,0.9224868416786194,28
0023800,,,,,,242,2049,430,2042,432,2077,243,2084,0.9372348785400392,28
,Frog 1egs (C. D. 610-4/6/42),,,,,518,2044,967,2047,967,2084,518,2081,0.9210824966430664,28
,,Lb.,,,,1307,2046,1376,2046,1376,2085,1307,2085,0.9405758380889891,28
,,,10%,,,1454,2041,1544,2041,1544,2092,1454,2092,0.9826991558074952,28
,(4),,,,,1228,2054,1287,2041,1296,2083,1237,2096,0.7527111172676086,28
,,,,8% bound Cuba GATT,,1693,2051,2067,2048,2067,2083,1693,2086,0.968831479549408,28
,,,,,1558,2154,2045,2240,2045,2240,2086,2154,2086,0.9965779185295104,28
0023900,,,,,,243,2080,392,2077,393,2111,243,2114,0.9458696246147156,28
,"Meats, n. s. p. f--.",,,,,518,2080,810,2083,810,2117,518,2114,0.8707159757614136,28
,4）,,,,,1249,2071,1296,2081,1288,2120,1241,2111,0.6500586271286011,28
,,Lb.,,,,1309,2079,1380,2079,1380,2116,1309,2116,0.8419129252433777,28
,,,61b,,,1456,2074,1545,2078,1544,2120,1454,2116,0.8279051780700684,28
,,,,,706,2138,2088,2227,2088,2227,2138,2138,2138,0.995621383190155,28
,,,20%min,,,1455,2109,1610,2109,1610,2152,1455,2152,0.9924612641334534,28
,"Birds, including poultry:",,,,,519,2139,903,2144,902,2178,519,2174,0.9931282997131348,28
,"Dead, dressed or undressed:",,,,,553,2175,987,2175,987,2206,553,2206,0.986195981502533,28
0024000,,,,,,244,2204,391,2204,391,2236,244,2236,0.9712241291999816,28
,Turkeys-.,,,,,587,2203,744,2210,743,2241,585,2234,0.9495006203651428,28
,(4）,,,,,1228,2203,1294,2199,1297,2242,1231,2246,0.6706700921058655,28
,,Lb--,,,,1304,2197,1391,2204,1388,2245,1301,2238,0.8205337524414062,28
,,,101b_,,,1459,2204,1579,2204,1579,2240,1459,2240,0.8056384325027466,28
0025400,,,,,,246,2236,391,2236,391,2268,246,2268,0.9606173038482666,28
,Chickens and guineas,,,,,589,2233,924,2237,923,2271,589,2267,0.9916883707046508,28
,（4）,,,,,1231,2229,1294,2229,1294,2274,1231,2274,0.691316545009613,28
,,Lb__,,,,1308,2234,1396,2234,1396,2271,1308,2271,0.8960044384002686,28
,,,101b_-,,,1460,2235,1587,2235,1587,2274,1460,2274,0.6607891321182251,28
,,,,6lb. Can,,1694,2236,1883,2236,1883,2274,1694,2274,0.8842239379882812,28
,,,,3,,1697,2266,1739,2266,1739,2302,1697,2302,0.8949450254440308,28
,,,,1b. GATT,,1735,2264,1907,2264,1907,2306,1735,2306,0.9182198643684388,28
0025500,,,,,,244,2297,392,2296,393,2331,244,2332,0.9688289165496826,28
,Ducks andgeese-..,,,,,590,2296,893,2301,892,2335,589,2330,0.9357817769050598,28
,(4),,,,,1229,2294,1296,2294,1296,2338,1229,2338,0.7709880471229553,28
,,Lb__,,,,1308,2296,1389,2296,1389,2334,1308,2334,0.7682969570159912,28
,,,101b--.,,,1460,2298,1596,2298,1596,2337,1460,2337,0.679393470287323,28
,,,,6,,1694,2300,1741,2295,1745,2329,1698,2334,0.9720459580421448,28
,,,,ib. Can.-,,1734,2294,1904,2294,1904,2336,1734,2336,0.8336136937141418,28
,,,,31b. GATT..,,1694,2328,1924,2328,1924,2366,1694,2366,0.8511974811553955,28
0025900,,,,,,246,2360,391,2360,391,2392,246,2392,0.9652369022369384,28
,"Birds, n. s. p. f. (including game birds) -- (4)]",,,,,588,2358,1326,2358,1326,2398,588,2398,0.9086493849754332,28
,,Lb----,,,,1306,2359,1433,2362,1432,2397,1305,2394,0.8936309218406677,28
,,,10lb----,,,1459,2357,1629,2359,1628,2400,1458,2398,0.7751721143722534,28
,,,,561b. U.K,,1691,2352,1937,2359,1936,2404,1690,2398,0.7337996959686279,28
,,,,,>712,2148,2374,2224,2374,2224,2411,2148,2411,0.8865289688110352,28
,,,,2%Ib. GATT,,1693,2393,1928,2391,1929,2428,1694,2430,0.7522190809249878,28
,Prepared or preserved:,,,,,483,2421,838,2423,838,2457,483,2455,0.9923571944236756,28
0026500,,,,,,244,2452,429,2448,430,2483,245,2487,0.9347698092460632,28
,"Turkeys, prepared or preserved, n. 8. p. f. (4)]",,,,,515,2453,1325,2453,1325,2490,515,2490,0.931588351726532,28
,,Lb--.-,,,,1305,2453,1434,2455,1433,2491,1305,2489,0.7368600964546204,28
,,,10lb---,,,1460,2454,1615,2454,1615,2493,1460,2493,0.8414859771728516,28
,(forinerly part of 0026 000).,,,,,554,2487,984,2487,984,2518,554,2518,0.9651322960853576,28
0026900,,,,,,245,2515,429,2511,430,2545,246,2549,0.8940807580947876,28
,"Birds, including poultry, prepared or pre- (4)",,,,,516,2513,1301,2514,1301,2555,516,2554,0.9375860691070556,28
,,Lb-----,,,,1308,2513,1439,2523,1437,2561,1305,2551,0.951892912387848,28
,,,10 lb-----,,,1460,2517,1646,2517,1646,2555,1460,2555,0.8203111886978149,28
,,,,5Ib. GATTi8,,1694,2519,1926,2514,1927,2549,1695,2554,0.8721787929534912,28
,"served, n. e. s. (formerly part of 0026 000).",,,,,550,2549,1221,2549,1221,2583,550,2583,0.9718648195266724,28
0028000,,,,,,247,2576,392,2576,392,2611,247,2611,0.9745829105377196,28
,"Canned beef, including corned beef--.",,,,,517,2576,1105,2580,1104,2617,517,2613,0.9336689114570618,28
,（4）,,,,,1232,2576,1293,2576,1293,2617,1232,2617,0.7529637813568115,28
,,Lb-----,,,,1310,2573,1436,2587,1431,2627,1306,2613,0.8631587028503418,28
,,,61b,,,1458,2579,1546,2579,1546,2616,1458,2616,0.8197643160820007,28
,,,,"3c lb. Arg., Urug., Para---",,1696,2579,2126,2583,2125,2617,1695,2613,0.826149046421051,28
,,,20% min.,,,1454,2602,1623,2607,1622,2656,1453,2651,0.8843129873275757,28
,,,,"20% min. Arg., Urug., Para.",,1694,2609,2133,2614,2132,2651,1693,2646,0.9502381086349488,28
,,,,,>706,2148,2624,2223,2624,2223,2662,2148,2662,0.8603860139846802,28
0029000,,,,,,247,2638,392,2638,392,2673,247,2673,0.9954923987388612,28
,"Beef and veal, pickled or cured "".-",,,,,518,2638,1050,2641,1050,2678,518,2675,0.9424870014190674,28
,(4),,,,,1236,2638,1295,2638,1295,2683,1236,2683,0.8401658535003662,28
,,Lb.,,,,1309,2638,1381,2644,1378,2681,1306,2675,0.8277795910835266,28
,,,61b,,,1457,2638,1546,2638,1546,2679,1457,2679,0.7789707183837891,28
,,,,"3e lb. Argo, Urug., Para__",,1696,2643,2089,2646,2089,2680,1695,2677,0.8489295244216919,28
,,,20%min-.,,,1456,2667,1629,2675,1627,2717,1454,2709,0.8708898425102234,28
,,,-,,,1541,2666,1546,2666,1546,2671,1541,2671,0.1318066269159317,28
,,,,"20% min. Arg., Urug., Para_",,1694,2675,2157,2675,2157,2709,1694,2709,0.9390621781349182,28
